石头	There is no difference between the use of 石头 in Chinese and "stone" or "rock" in English.
赌输	There is no difference between the use of 赌输 in Chinese and "lose a bet" in English.  Note that 赌赢 (dǔyíng) means "win a bet".
生词表	There is no difference between the use of 生词表 in Chinese and "vocabulary list" in English.
本地的	There is no difference between the use of 本地的 in Chinese and "local" in English.
著名	There is no difference between the use of 著名 in Chinese and "famous", "renowned", or "well-known" in English.
伸懒腰	There is no difference between the use of 伸懒腰 in Chinese and "stretch" in English.
直接	There is no difference between the use of 直接 in Chinese and "direct" or "directly" in English.
高级	This means "high-level", "advanced", or "senior".  For example, 高级工程师 (gāojí gōngchéngshī) means "senior engineer".
小费	There is no difference between the use of 小费 in Chinese and "tip" in English.
骆驼	There is no difference between the use of 骆驼 in Chinese and "camel" in English.
忍不住	There is no difference between the use of 忍不住 in Chinese and "can't help but" or "couldn't help but" in English.
立法	There is no difference between the use of 立法 in Chinese and "legislation" or "legislate" in English.
搭	This word has many meanings. It can mean "to build", "to take (a bus, taxi, etc.)", "to put up", "to join in", "to add", or "to match".  For example, 搭帐篷 (dā zhàngpeng) means "to put up a tent", 搭讪 (dāshàn) means "to strike up a conversation", and  搭配 (dāpèi) means "to match" or "to pair".
物体	There is no difference between the use of 物体 in Chinese and "object" or "physical object" in English.
开派对	There is no difference between the use of 开派对 in Chinese and "have a party" or "throw a party" in English.
封闭	This means "closed", "sealed", or "isolated".  For example, 封闭式基金 (fēngbìshì jījīn) means "closed-end fund".
基因	There is no difference between the use of 基因 in Chinese and "gene" in English.
骨折	There is no difference between the use of 骨折 in Chinese and "fracture" or "broken bone" in English.
厨房	There is no difference between the use of 厨房 in Chinese and "kitchen" in English.
读博士	There is no difference between the use of 读博士 in Chinese and "study for a PhD" or "do a PhD" in English.
下期	There is no difference between the use of 下期 in Chinese and "next issue", "next installment", or "next period" in English.
戒指	There is no difference between the use of 戒指 in Chinese and "ring" in English.
巧合	There is no difference between the use of 巧合 in Chinese and "coincidence" in English.
评测	This can mean "evaluation", "review", or "assessment".
新鲜感	There is no difference between the use of 新鲜感 in Chinese and "feeling of novelty" or "freshness" in English.
造句	There is no difference between the use of 造句 in Chinese and "make a sentence" or "form a sentence" in English.
揣测	This means "to speculate", "to conjecture", or "to surmise".  It can sometimes have a negative connotation, suggesting that the speculation is based on limited information or is intended to be harmful.
药物	There is no difference between the use of 药物 in Chinese and "medicine" or "drug" in English.
证据	There is no difference between the use of 证据 in Chinese and "evidence" or "proof" in English.
试试	There is no difference between the use of 试试 in Chinese and "try" or "give it a try" in English.
表演	This can mean "performance", "to perform", or "to act".
类似	There is no difference between the use of 类似 in Chinese and "similar" or "analogous" in English.
居民	There is no difference between the use of 居民 in Chinese and "resident" or "inhabitant" in English.
标语	There is no difference between the use of 标语 in Chinese and "slogan" or "banner" in English.
海鲜	There is no difference between the use of 海鲜 in Chinese and "seafood" in English.
鼻窦炎	There is no difference between the use of 鼻窦炎 in Chinese and "sinusitis" in English.
热心	This means "enthusiastic", "warm-hearted", or "eager".
首要	There is no difference between the use of 首要 in Chinese and "primary", "principal", or "most important" in English.
主要	There is no difference between the use of 主要 in Chinese and "main", "major", or "principal" in English.
矛	There is no difference between the use of 矛 in Chinese and "spear" in English.
状态	There is no difference between the use of 状态 in Chinese and "state", "condition", or "status" in English.
宠坏	There is no difference between the use of 宠坏 in Chinese and "spoil" or "pamper" in English.
蒙古族	There is no difference between the use of 蒙古族 in Chinese and "Mongolian people" or "Mongols" in English.
创可贴	There is no difference between the use of 创可贴 in Chinese and "band-aid" (or "plaster" in British English) in English.
痕迹	Often used in the pattern “有… 的痕迹” (yǒu … de hénjì), meaning "there are traces/marks of…".  For example, “脸上有泪水的痕迹” (liǎn shang yǒu lèishuǐ de hénjì) - "There are traces of tears on [one's] face."  It can also be used metaphorically,  “改革开放的痕迹” (gǎigé kāifàng de hénjì) - "Traces/vestiges of reform and opening up."
送气	送气 is the linguistic term for aspirated sounds and is usually not something non-linguists would use.  If you want to describe the airflow, you might say something like  “吹气” (chuī qì - to blow air) or “呼气” (hū qì - to exhale).
欧元	No special notes.
霸道	Can mean "overbearing" or "domineering" (often negatively) but in some online slang, particularly amongst younger speakers, can also mean "awesome," "cool," or "powerful" in a positive way, especially related to attractive male figures. This is similar to how "bad" can have a positive connotation in some English slang.
录取	Specifically refers to being accepted into a school or program.  Don't use it for jobs.
机考	Short for 机考.  No special notes.
奇特	Means peculiar or bizarre.  It's often used in a neutral or even positive context to describe something unusual or fascinating, rather than purely negative like "weird" in English sometimes can be.
判决	Formal and legalistic term.  In casual conversation, you'd more likely hear something like  "判了…" (pàn le…) - "[Someone] was sentenced to…" or "决定" (juédìng - decided).
上天堂	Relatively uncommon in daily speech.  More often, people would use "去天堂" (qù tiāntáng) - "go to heaven."  上天堂 has more of a literary or religious connotation.
看法	While it means "opinion," it often implies a more considered, thought-out perspective rather than a casual opinion.  For everyday opinions,  "想法" (xiǎngfǎ) is more common.
巧了	Used to express coincidence, like "What a coincidence!"
马蜂	Specifically refers to wasps, especially larger, more aggressive ones like hornets.  For smaller bees, 蜜蜂 (mìfēng) is used.
加州	Short for 加州 (Jiāzhōu) - California. No special notes.
后端	In technology contexts, refers to the back-end of a system (servers, databases, etc.).
解开	Can be literal (untying a knot) or figurative (solving a mystery, resolving a problem).
司机	No special notes.
风格	Can describe a wide range of styles, from art and music to fashion and personal behavior.
实习	Specifically refers to internships.  Don't confuse with  "实践" (shíjiàn) which means "practice."
没事了	Can mean "It's okay now," "I'm fine now," or "Nothing's wrong anymore."
匿名	No special notes.
南美洲	No special notes.
敲	Many meanings!  Can mean to knock, to strike, to type, or to extort.  Context is key.
澳洲	Short for 澳洲 (Àozhōu) - Australia.  No special notes.
驼背	No special notes.
选举	Formal.  For casual conversation, you might hear  "选" (xuǎn - elect/choose).
街区	Refers to a city block or neighborhood.
唇齿音	Linguistic term, not used in everyday conversation.
奖	Refers to awards, prizes, or rewards.
温馨	Describes a warm, cozy, and inviting atmosphere.
按摩	No special notes.
搞笑	Means funny, humorous, or comical. Can also be used as a verb meaning to joke around.
次要	Means secondary or less important.
特别是	Means "especially" or "in particular."
虽然	Used like "although" or "even though." Usually paired with 但是 (dànshì) or 可是 (kěshì) - "but" or "however"
服务	Means service. No special notes.
博士	Refers to a doctorate degree or someone holding one.
山寨品	Counterfeit goods.
猫粮	Cat food.
当老师	Means "to be a teacher" or "to work as a teacher."
有道理	Means "makes sense," "logical," or "reasonable."
仙子	Fairy or elf.  Often used in fantasy contexts.
后三天	The three days after today.
早点	Can mean "early" or refer to breakfast.
财富	Wealth or riches.
占星	Astrology or fortune-telling.
傻逼	Extremely vulgar insult. Avoid using.
硅谷	Silicon Valley.
感受	Feelings or sensations.  Can also be used as a verb meaning "to feel" or "to experience."
生火	To start a fire or light a fire.
改正	To correct or amend (mistakes, errors, etc.).
家乡	A more formal word for 家乡 is 故乡 (gùxiāng).
素质	素质 (sùzhì) can refer to the inherent quality of something, similar to "quality" in English.  However, it's often used to refer to a person's overall character, encompassing their manners, education, and civic-mindedness.  Therefore, saying someone has "low 素质 (dī sùzhì)" can be quite a strong insult.  A more neutral way to express a similar sentiment might be to say someone "没有礼貌 (méiyǒu lǐmào)" (doesn't have manners).
赌博	赌博 is a formal word for gambling. More colloquial words include 赌钱 (dǔqián) and 玩儿钱 (wánr qián).
牌子	牌子 (páizi) can mean "brand" or "sign/plaque." Pay attention to context to determine the correct meaning.  For "brand," you can also use 品牌 (pǐnpái), which is more formal.
我醒了	This translates literally to "I woke up." However, if you are telling somebody that you woke up, in English we often say "I'm awake" or "I'm up". You can say this in Chinese as follows: 我现在醒了 (wǒ xiànzài xǐng le). Note the inclusion of the word 现在 (xiànzài) meaning "now."
对象	对象 (duìxiàng) can mean "object," "target," or "boyfriend/girlfriend/partner." The context will usually make the meaning clear.  When referring to a romantic partner, 对象 is more commonly used in Northern China.
山顶	A more formal word for 山顶 is 山峰 (shānfēng).
鼻炎	Although 鼻炎 (bíyán) directly translates to "rhinitis," it most commonly refers to "allergic rhinitis" in everyday conversation.
爱情片	This is the most common and natural way to say "romantic movie" in Chinese.
包括	包括 (bāokuò) means "including" or "to include," but be aware that it typically indicates an incomplete list of examples.  If you want to express "including everything," use 包括一切 (bāokuò yīqiè) or 包含 (bāohán), which implies a more comprehensive inclusion.
草地	A related word is 草原 (cǎoyuán) meaning grassland, steppe, or prairie.  草地 (cǎodì) usually implies a smaller, more managed grassy area, while 草原 suggests a vast, natural expanse.
中式	中式 (zhōngshì) is often used before another noun to indicate "Chinese-style," such as 中式婚礼 (zhōngshì hūnlǐ) - Chinese-style wedding, or 中式家具 (zhōngshì jiājù) - Chinese-style furniture.
屏幕🖥	Besides 屏幕 (píngmù), another word for "screen" is 荧幕 (yíngmù), which is often used in the context of movies or television.
支出	支出 (zhīchū) refers specifically to expenses or expenditure. A related word is 开支 (kāizhī), which also means expenses but often implies regular or operating expenses.
讲述	讲述 (jiǎngshù) emphasizes the act of narration or storytelling, similar to "to recount" or "to narrate."  It differs from other verbs like 说 (shuō - to say/speak) or 告诉 (gàosù - to tell) which are more general.
嘹亮	嘹亮 (liáoliàng) describes a sound that is clear, bright, and resonant, often used for singing voices or bird songs.  It carries a positive connotation, suggesting a beautiful and powerful sound.
淡水鱼	This is the standard way to say "freshwater fish."
自由	自由 (zìyóu) encompasses both "freedom" and "liberty."  While generally interchangeable, 自由 might lean slightly more towards personal freedom, whereas 自由权 (zìyóu quán) explicitly refers to "rights and freedoms."
日食	Remember that 日食 (rìshí) refers to a solar eclipse.  A lunar eclipse is 月食 (yuèshí).
手腕	手腕 (shǒuwàn) can refer to both the physical "wrist" and someone's "skill" or "technique," particularly in handling affairs or dealing with people.
闹钟	While 闹钟 (nàozhōng) refers to an alarm clock, you can also use 闹铃 (nàolíng), which can refer to the alarm clock itself or just the alarm sound.
相亲角	相亲角 (xiāngqīn jiǎo) refers specifically to public spaces, often in parks, where parents gather to find potential partners for their single adult children.
核心词	核心词 (héxīn cí) directly translates to "core words" or "keywords," and there isn't a significant difference from its English equivalent.
不过	不过 (búguò) can function as "however," "but," or "merely." Pay close attention to context.  When used as "merely," it downplays the significance of something.
野餐	野餐 (yěcān) directly corresponds to "picnic."
报销	报销 (bàoxiāo) refers to the process of submitting expenses for reimbursement, particularly in a professional or official context.
品味	品味 (pǐnwèi) refers to "taste" in a sophisticated or refined sense, often implying artistic or cultural discernment. It can also refer to the quality of something.
提高	提高 (tígāo) implies an improvement in quality, skills, or level, similar to "enhance" or "improve."  It differs from 增加 (zēngjiā - to increase) which focuses on quantity.
首饰	首饰 (shǒushì) is a general term for jewelry, encompassing various items like necklaces, rings, and earrings.
图瓦人	This refers to the Tuvan people, a Turkic ethnic group primarily living in Tuva Republic, Russia.
打架	打架 (dǎjià) means to fight or brawl, specifically in a physical sense.  For verbal arguments, use 吵架 (chǎojià).
习惯	习惯 (xíguàn) can be both a noun ("habit") and a verb ("to be accustomed to").  As a verb, it's often followed by the preposition 于 (yú) or the particle 了 (le).
签证	签证 (qiānzhèng) refers specifically to a visa, a travel document.
数据	数据 (shùjù) is equivalent to "data," referring to facts and statistics collected for analysis.
货币	货币 (huòbì) is a formal term for "currency" or "money."  More colloquial terms include 钱 (qián) and 款 (kuǎn).
扫	扫 (sǎo) primarily means "to sweep," but can also mean "to scan" (e.g., a QR code - 扫码 sǎomǎ).
无知	无知 (wúzhī) means ignorant or lacking knowledge. It's a fairly strong word and can be considered offensive.  A more polite way to express a similar idea might be 不太了解 (bú tài liǎojiě - not very familiar with).
聚	聚 (jù) means "to gather" or "to get together."  聚会 (jùhuì) is the noun form, meaning "gathering" or "party."
好坏	好坏 (hǎohuài) means "quality" (good or bad) or the "pros and cons." It can also be used as an adjective to describe something as "good or bad," but usually in a general sense.
李文月	This is a typical Chinese name.  Note the common family name 李 (Lǐ).
角度	角度 (jiǎodù) refers to an "angle," both literally (e.g., the angle of a triangle) and figuratively (e.g., a point of view).
基本上	基本上 (jīběnshàng) means "basically," "generally," or "on the whole." It indicates that something is mostly true, but there might be exceptions.
敢	敢 (gǎn) means "to dare" or "to have the courage to." It is often used to express willingness or boldness to do something.
绝对	绝对 (juéduì) means "absolutely," "definitely," or "unconditionally."  It's a strong term emphasizing certainty.
领养	领养 (lǐngyǎng) specifically means to adopt a child or pet.
社会学	社会学 (shèhuìxué) directly translates to "sociology."
消息	消息 (xiāoxi) translates to "news" or "information," particularly short pieces of news or updates.
环境	环境 (huánjìng) refers to the "environment" or "surroundings," both physical and social.
单人床	单人床 (dānrén chuáng) is the standard term for "single bed."
名词	名词 (míngcí) translates to "noun."
钟头	This is just a very colloquial way of saying 小时.
两个月	Note that the measure word for 月 is 个, not the more common measure word for time, which is ge4.
土猫	This word just refers to a mixed-breed cat. It has no negative connotations.
原版	When referring to books, movies, etc., this is very close in meaning to the English word "original."  It emphasizes that it's the first edition or the version that has not been adapted or altered.
吐	When used literally to mean vomiting, this word is rather informal and childish. A more formal word would be 呕吐 (ǒutù).
抚养权	This word is only used in legal contexts, usually referring to the legal right and responsibility to raise a child after a divorce. In colloquial contexts, people usually just use the word 抚养 (fǔyǎng).
学术	This word refers to the entire field of scholarship or academia. It can include everything from conducting research to writing papers, and generally implies a pursuit of knowledge in an organized way.
安慰	This word includes both emotional support and practical help. It's more encompassing than just comforting words.
足够	This word implies not only enough to meet a need but often suggests a surplus or abundance.
台湾	This word refers to the island of Taiwan. Be aware of the political sensitivity around the term, as some prefer "中华民国" (Republic of China) or other designations.
游乐园	This word refers specifically to amusement parks with rides and games.
很自信	While this translates directly to "very confident," it can sometimes carry a slightly negative connotation, suggesting someone is overly confident or even arrogant.  A more neutral way to express strong confidence is 非常自信 (fēicháng zìxìn).
独角鲸	There is no difference between the use of 独角鲸 in Chinese and Narwhal in English.
通知	This word implies a formal announcement or official communication, often from a higher authority.
唤醒	This word suggests rousing someone from sleep or a state of unawareness, often metaphorically, like awakening to a new idea.
敏感	This word can describe both positive and negative sensitivity, such as being sensitive to art or having sensitive skin. Context is key.
情绪	This refers to a temporary emotional state or mood, rather than a long-term personality trait.
丈夫	This specifically refers to a woman's husband.
富二代	This term carries a strong connotation of privilege and sometimes implies a lack of hard work or self-reliance.
吃素	This phrase is usually used to refer to vegetarianism that includes eggs and dairy. Veganism would be 纯素 (chúnsù) or 全素 (quánsù).
好莱坞	This means Hollywood, and often is used as shorthand for the American film industry.
似乎	This word expresses a stronger sense of uncertainty than "maybe" or "perhaps" and often suggests a hesitation to state something definitively.
细	This word can describe something physically thin or fine, but can also refer to attention to detail or meticulousness.
副词	This means adverb in a grammatical context.
退步	This implies a decline or worsening from a previous state, often in terms of skills or performance.
感觉	This word encompasses both physical sensations and emotions.
卖艺	This refers to street performing or displaying skills for money, often with a connotation of being down on one's luck.
摘	This implies plucking or picking something by hand, usually fruits, vegetables, or flowers.
天主教	This term refers specifically to the Catholic Church, not Christianity in general (基督教, jīdūjiào).
小提琴	This word refers specifically to the violin.
过道	This refers to a narrow passage or aisle, often between rows of seats or shelves.
唐人街	This refers to Chinatown, but note that it's often used generically to refer to any Chinese neighborhood, even those not formally designated as Chinatown.
蟑螂	This word refers to cockroaches, and often carries a strong negative connotation of dirtiness or unsanitary conditions.
送气音	This term is used in phonetics and refers to aspirated sounds.  It is relevant for learning Pinyin and the pronunciation of certain consonants.
护肤品	This refers to skincare products in general.
很可惜	This expresses regret or disappointment, often about a missed opportunity.
定义	This refers to a formal definition, as in a dictionary or academic context.
体力	This refers to physical strength and stamina.
理想化	This implies something is overly idealistic or unrealistic, often with a negative connotation.
直播	This refers to live streaming or broadcasting in real time.
教育	This refers to education in a broad sense, including both formal schooling and general upbringing.
唯独	This word emphasizes an exception or something that stands out from the rest.
消耗	This implies the gradual depletion or using up of resources, energy, or time.
加强	This means to strengthen or reinforce, often suggesting making something more intense or effective.
放大	This can refer to physically enlarging something or metaphorically exaggerating or amplifying a situation.
负债	This refers to debt or financial obligations.
细胞	This means cell in a biological context.
营养	This refers to nutrients or nourishment, often in the context of food and health.
胃	This refers to the stomach.
寻求	This implies a search or quest for something, often something abstract like knowledge, truth, or help.
特征	A similar word is 特点 (tèdiǎn). 特征 is more objective, scientific and descriptive, while 特点 can also refer to a special quality or characteristic, and sometimes even a shortcoming.
农业	There is no difference between 农业 (nóngyè) in Chinese and agriculture in English.
计算	There is no difference between 计算 (jìsuàn) in Chinese and calculate in English.
古代	There is no difference between 古代 (gǔdài) in Chinese and ancient times in English.
双人床	There is no difference between 双人床 (shuāngrénchuáng) in Chinese and double bed in English.
存钱	There is no difference between 存钱 (cúnqián) in Chinese and save money in English.
校友会	There is no difference between 校友会 (xiàoyǒuhuì) in Chinese and alumni association in English.
字体	There is no difference between 字体 (zìtǐ) in Chinese and font in English.
老百姓	There is no difference between 老百姓 (lǎobǎixìng) in Chinese and ordinary people in English, although sometimes it is better translated as "the common people".
应用	This can be a verb (apply) or a noun (application, app).
一集	This means "one episode". 集 (jí) can also be a counter for other collected things, especially sets of books.
可怕	There is no difference between 可怕 (kěpà) in Chinese and terrible or awful in English.
要想...	This phrase is used like "if you want to...". It indicates a necessary condition for a desired outcome.  The structure is:<NEWLINE><NEWLINE>要想 A 就得 B<NEWLINE><NEWLINE>If you want A, you must B
睫毛	There is no difference between 睫毛 (jiémáo) in Chinese and eyelashes in English.
敲门	There is no difference between 敲门 (qiāomén) in Chinese and knock on the door in English.
再会	There is no difference between 再会 (zàichuán) in Chinese and goodbye in English. However, it is very formal and rarely used.
权力	权力 (quánlì) refers to the *right* to exercise power (power held legitimately), whereas 力量 (lìliàng) usually refers to *actual* strength or power, without the connotations of legitimacy.  A similar, more general word is 能力 (nénglì) which can mean "ability".
祖宗	This can mean ancestor, or be used figuratively to refer to someone from long ago.
脱口秀	There is no difference between 脱口秀 (tuōkǒuxiù) in Chinese and stand-up comedy in English.  Note that it is sometimes shortened to 脱口 (tuōkǒu)
推迟	There is no difference between 推迟 (tuīchí) in Chinese and postpone in English.
阴谋论	There is no difference between 阴谋论 (yīnmóulùn) in Chinese and conspiracy theory in English.
时尚	时尚 (shíshàng) can be used as an adjective or a noun. It means fashionable or fashion respectively.
工业	There is no difference between 工业 (gōngyè) in Chinese and industry in English.
北美洲	There is no difference between 北美洲 (běiměizhōu) in Chinese and North America in English.
对待	There is no difference between 对待 (duìdài) in Chinese and treat in English.
强奸犯	There is no difference between 强奸犯 (qiángjiānfàn) in Chinese and rapist in English.
大脑🧠	There is no difference between 大脑 (dànǎo) in Chinese and brain in English.
语境	There is no difference between 语境 (yǔjìng) in Chinese and context in English.
无花果	There is no difference between 无花果 (wúhuāguǒ) in Chinese and fig in English.
糊	糊 (hú) can be used as an adjective meaning blurry or to describe the consistency of certain foods (like porridge).
近音	近音 (jìnyīn) mean words which are pronounced nearly identically. They can also mean homophones.
圈外人	圈外人 (quānwàirén) can refer to anyone who is outside of a particular social circle or field.
西藏	There is no difference between 西藏 (xīzàng) in Chinese and Tibet in English.
荆棘	There is no difference between 荆棘 (jīngjí) in Chinese and thorns in English, although it can be used metaphorically, unlike thorns in English.
鑄鐵	There is no difference between 鑄鐵 (zhùtiě) in Chinese and cast iron in English.
训诫	训诫 (xùnjiè) means to admonish or reprimand. It implies an authoritative figure giving a warning or criticism.
成人	成人 (chéngrén) means adult. Note that this has no sexual connotations in Chinese like it does in some English contexts.
朋友们	This is the plural of 朋友 (péngyou). Although 们 (men) can often be omitted, when it is present it emphasizes that you are talking to all of your friends, not just some of them.
尤其是	尤其是 (yóuqíshì) is used for emphasis, to highlight something in particular. It translates to "especially" or "particularly". It is somewhat formal.
巡抚	巡抚 (xúnfǔ) was a high-ranking official in imperial China, responsible for overseeing a province. There is no perfect single word translation; depending on the context, it can be translated as "governor", "inspector-general", or "viceroy".
富裕	富裕 (fùyù) means wealthy or affluent.
崩溃	崩溃 (bēngkuì) can mean to collapse (both literally and figuratively).
燃料	燃料 (ránliào) means fuel.
表示	表示 (biǎoshì) has several meanings including: to express, to show, to indicate, to represent, to state, or to mean.
公司	公司 (gōngsī) means company.
印象	印象 (yìnxiàng) means impression.
晒黑	晒黑 (shài hēi) means to get a suntan, or to be sunburned. Note that it is made up of the two words 晒 (to sunbathe) and 黑 (black).
隐喻	隐喻 (yǐnyù) means metaphor.
海鲈	海鲈 (hǎilú) means sea bass.
高兴	高兴 (gāoxìng) means happy.  It is similar to 开心 (kāixīn).  高兴 is generally more formal.
海	When referring to the sea in general, 海 is typically used. However, when speaking about a specific sea, like the South China Sea, the term 洋 (yáng) is used, e.g., 南中国海 (Nán Zhōngguó Hǎi) is incorrect, whereas 南中国洋 (Nán Zhōngguó Yáng) is correct.  Bear in mind that this rule doesn't apply to oceans, e.g. the Pacific Ocean is 太平洋 (Tài Píng Yáng) and the Atlantic Ocean is 大西洋 (Dà Xī Yáng).
观光	This is a more formal word, typically used in tourist brochures and official contexts.  For everyday conversations, use 看风景 (kàn fēngjǐng) or simply 玩儿 (wánr).
外人	外人 has two meanings.  The first is "outsider," referring to someone outside a particular group or organization. The second, more subtle meaning, is "stranger," specifically in the context of family or close relationships. It can be used to refer to someone not considered part of the immediate family circle. For example, if someone brings their boyfriend home to meet their family for the first time, the family might say something like, "不要在外人面前这样" (bùyào zài wàirén miànqián zhèyàng) meaning "don't act like that in front of strangers/outsiders".
游客	This refers exclusively to tourists who are visiting from *outside* the country.  For domestic travelers, use 旅行者 (lǚxíng zhě).
火盆	While 火盆 literally translates to "fire basin," it often refers specifically to the braziers used for warmth in colder regions or during winter. These braziers are traditionally used in Chinese households.
夸张	This word isn't inherently negative like "exaggerate" can be in English.  It can be used to describe something impressive or extraordinary, carrying a sense of awe or admiration.
塔罗牌	Make sure to include the 牌 (pái, cards).  Just saying 塔罗 (tǎluó) sounds incomplete.
剑鱼	This specifically refers to the swordfish. Don't confuse it with other fish that might have "sword" in their English name.
未分化	In biology, this specifically refers to cells or tissues that haven't specialized or differentiated yet.  More broadly, it describes something that's not yet developed or categorized clearly.
例子	例子 is more accurately translated as "example," not "story" or "case".  While a 例子 could be part of a story, it shouldn't be used interchangeably.
叫	叫 has many meanings. It most commonly means "to call" or "to be called." However, it can also be used when ordering food in a restaurant. When ordering food, using 叫 is more common and natural than 点 (diǎn), which is often seen in textbooks. For example, one would say, "我要叫一个宫保鸡丁" rather than "我要点一个宫保鸡丁."
暖气	暖气 specifically refers to central heating.  For other forms of heating, like space heaters, use other words like 加热器 (jiārèqì).
调情	This word carries a slightly more negative connotation than "flirt" in English, suggesting a more frivolous or even insincere intent.  Consider the context carefully.
消耗尽	This emphasizes the complete depletion or exhaustion of something.  Use it when something is *totally* used up, not just partially diminished.
亚洲人	This term is generally neutral, like "Asian people" in English.  Be mindful of context to avoid any unintended stereotyping.
脆弱	脆弱 describes both physical and emotional vulnerability.  It can refer to fragile objects or a person's sensitive emotional state.
说到	This introduces a new topic related to the previous discussion.  It's similar to "speaking of..." in English.
邮箱	This can refer to both a physical mailbox and an email inbox. Context is essential for distinguishing between the two meanings.
了解	了解 means "to understand" or "to know about" something or someone. It focuses on having general knowledge or awareness.  It is not as strong as 知道(zhīdào), which means "to know" a fact or piece of information.
摘眼镜	This specifically means "to take off glasses."  For putting on glasses, use 戴眼镜 (dài yǎnjìng).
乡村	乡村 refers to rural areas in general.  For a specific village, use 村庄 (cūnzhuāng).
粉末	This can refer to any kind of powder, including cosmetic powder, medicine powder, or even dust.
残酷	残酷 emphasizes the callous and inhumane nature of an act, often involving violence or suffering. It's a stronger word than simply "cruel."
低 - 高	The words 低 and 高 should not be considered as absolute measurements but rather as comparative indicators.  低 means something is relatively less intense or lower than the average or another reference point. Similarly, 高 denotes that something is more intense or higher than a certain threshold or benchmark.
事业	事业 refers to a long-term career or profession, emphasizing a sense of purpose and dedication.  It's not just any job.
批评	批评 often carries a more serious and formal tone than the English word "criticize," often implying an official reprimand or judgment.  For more casual criticism, use other words like  说…不好 (shuō...bù hǎo) or  挑剔 (tiāoti).
教练	教练 is a general term for "coach."  For specific sports, more specific terms might be used. For example, 足球教练 (zúqiú jiàoliàn) for a soccer coach.
万圣节	万圣节 (Wànshèngjié) is a direct translation of "All Saints' Day," a Christian holiday.  For Halloween, which is celebrated on October 31st, use the term 万圣节前夜 (Wànshèngjié qiányè) meaning "All Hallows' Eve."
半年	半年 literally translates to "half a year," which is six months. It's important to note that it doesn't necessarily specify *which* six months. It can refer to any six-month period within a year.
失去	失去 (shīqù) means "to lose" in a broad sense. It can refer to losing physical objects, abstract things like opportunities, or even people through death or separation.
所在	所在 (suǒzài) means "location" or "whereabouts."  It is a relatively formal word. For more casual conversation, use 地方 (dìfang) or 在哪儿 (zài nǎr).
前苏联	前苏联 (qián Sūlián) means "the former Soviet Union."  Be mindful of the historical context when using this term, as it refers to the period before its dissolution in 1991.  For the current Russian Federation, use 俄罗斯 (Éluósī) or 俄国 (Éguó).
注册	注册 (zhùcè) means to register or enroll.  It can be used in various contexts, such as registering for a website, enrolling in a school, or registering a company.
软腭化	软腭化 (ruǎnéhuà) is a linguistic term referring to velarization, a phonetic process where the back of the tongue is raised towards the soft palate.
清真寺	清真寺 (qīngzhēnsì) refers specifically to a mosque, a place of worship for Muslims.
形容词	形容词 (xíngróngcí) is the term for "adjective."
至少	至少 (zhìshǎo) means "at least."
轻声	轻声 (qīngshēng) in linguistics refers to the neutral tone in Mandarin Chinese. It's also used to describe speaking softly.  Context differentiates the meaning.
违背	违背 (wéibèi) means "to violate," "to go against," or "to disobey." It often refers to rules, principles, or promises.
一首诗	一首诗 (yī shǒu shī) means "one poem."  The measure word 首 (shǒu) is used for poems and songs.
直觉	直觉 (zhíjué) means "intuition."
冬眠	冬眠 (dōngmián) refers to hibernation.
国际	国际 (guójì) means "international."
邮件	邮件 (yóujiàn) means "email" or "mail."
流	流 (liú) has many meanings including "to flow," "stream," "current," "class" (as in a category or type), "to shed tears," among others.
人脉	人脉 (rénmài) refers to one's network of contacts or connections, often in a professional or social context.  It's similar to "guanxi" but is a slightly more formal term.
读书会	读书会 (dúshū huì) refers to a book club.
知识	知识 (zhīshi) means "knowledge."
方面	方面 (fāngmiàn) means "aspect" or "respect."  It's often used to discuss different facets of a topic or situation.
响	响 (xiǎng) means "to make a sound," "to ring," or "loud." It can also be used as an adjective to describe a sound as loud or resonant.
申请	This word is both a noun and a verb.
长/ 短 (long / short)	These words can be used to describe time.  For example, 长假 (chángjià) means "long vacation," and 短假 (duǎnjià) means "short vacation."  They're also used with other time words like  长/短期 (cháng/duǎnqí) - long/short term, 长/短时间 (cháng/duǎn shíjiān) - long/short time.
毛衣	Many English speakers learning Chinese confuse this word (sweater) with 毛巾 (máojīn - towel). Be careful!
假定	This word is more formal than "假设" (jiǎshè) and is more commonly used in written Chinese.  They're largely interchangeable, though 假定 sometimes leans more toward "suppose" while 假设 is closer to "assume."
纯素食	This phrase specifically refers to a vegan diet.  Just saying 素食 (sùshí - vegetarian) doesn't necessarily imply veganism, as some vegetarians consume dairy and eggs.
拥挤	This describes a place crowded with people.  If you want to say traffic is congested, use 堵车 (dǔchē).
放松	While this can mean "to relax," it can also mean "to loosen" as in "to loosen one's grip."
交叉	This word can be used as a verb meaning "to cross" or "to intersect." It can also be used as an adjective to describe things placed across each other.
世界	世界 can also mean “all over the world” e.g., 世界闻名 (shìjiè wénmíng), world-famous
鱼缸	A similar word is 水族馆 (shuǐzúguǎn). However, 水族馆 is much larger and includes fish and other marine creatures. It's an aquarium, while 鱼缸 is a fish tank.
奖学金	Make sure not to confuse this with 助学金 (zhùxuéjīn), which is financial aid.  奖学金 is specifically a scholarship awarded based on merit.
永远	This word emphasizes duration, like "always" or "forever."  If you want to emphasize an unchanging state, use 一直 (yīzhí), which means "continuously."
